timestamp,calls,hour,day_of_week
2024-01-01 00:00:00,59,0,0
2024-01-01 01:00:00,39,1,0
2024-01-01 02:00:00,51,2,0
2024-01-01 03:00:00,61,3,0
2024-01-01 04:00:00,49,4,0
2024-01-01 05:00:00,61,5,0
2024-01-01 06:00:00,68,6,0
2024-01-01 07:00:00,45,7,0
2024-01-01 08:00:00,29,8,0
2024-01-01 09:00:00,77,9,0
2024-01-01 10:00:00,79,10,0
2024-01-01 11:00:00,65,11,0
2024-01-01 12:00:00,43,12,0
2024-01-01 13:00:00,36,13,0
2024-01-01 14:00:00,62,14,0
2024-01-01 15:00:00,76,15,0
2024-01-01 16:00:00,61,16,0
2024-01-01 17:00:00,62,17,0
2024-01-01 18:00:00,38,18,0
2024-01-01 19:00:00,32,19,0
2024-01-01 20:00:00,70,20,0
2024-01-01 21:00:00,58,21,0
2024-01-01 22:00:00,41,22,0
2024-01-01 23:00:00,41,23,0
2024-01-02 00:00:00,50,0,1
2024-01-02 01:00:00,52,1,1
2024-01-02 02:00:00,35,2,1
2024-01-02 03:00:00,65,3,1
2024-01-02 04:00:00,42,4,1
2024-01-02 05:00:00,41,5,1
