scenario,arrival_rate,average_handling_time,service_level_target,weight
Scenario_0,48.72700594236812,7.75357153204958,0.8,0.4
Scenario_1,66.59969709057026,5.993292420985183,0.8,0.4
Scenario_2,37.80093202212183,3.7799726016810133,0.8,0.4
Scenario_3,32.90418060840997,7.330880728874676,0.8,0.4
Scenario_4,60.05575058716044,6.540362888980227,0.8,0.4
Scenario_5,31.02922471479012,7.8495492608099715,0.8,0.4
Scenario_6,71.62213204002109,4.061695553391381,0.8,0.4
Scenario_7,39.09124836035503,3.917022549267169,0.8,0.4
Scenario_8,45.21211214797688,5.623782158161189,0.8,0.4
Scenario_9,51.59725093210579,4.456145700990209,0.8,0.4
Scenario_10,60.59264473611897,3.6974693032602093,0.8,0.4
Scenario_11,44.60723242676091,4.831809216468459,0.8,0.4
Scenario_12,52.8034992108518,6.925879806965068,0.8,0.4
Scenario_13,39.98368910791799,5.571172192068058,0.8,0.4
Scenario_14,59.620728443102124,3.2322520635999887,0.8,0.4
Scenario_15,60.37724259507192,3.8526206184364575,0.8,0.4
Scenario_16,33.25257964926398,7.7444276862666666,0.8,0.4
Scenario_17,78.28160165372796,7.041986740582305,0.8,0.4
Scenario_18,45.23068845866854,3.4883605700319196,0.8,0.4
Scenario_19,64.21165132560785,5.200762468698007,0.8,0.4
Scenario_20,36.10191174223894,5.475884550556351,0.8,0.4
Scenario_21,31.71942605576092,7.546602010393911,0.8,0.4
Scenario_22,42.93899908000085,6.31261142176991,0.8,0.4
Scenario_23,45.58555380447055,5.600340105889054,0.8,0.4
Scenario_24,57.33551396716398,3.9242722776276353,0.8,0.4
Scenario_25,78.47923138822793,6.875664116805573,0.8,0.4
Scenario_26,76.97494707820945,7.474136752138244,0.8,0.4
Scenario_27,59.89499894055426,7.609371175115584,0.8,0.4
Scenario_28,34.424625102595975,3.979914312095726,0.8,0.4
Scenario_29,32.2613644455269,4.626651653816322,0.8,0.4
Scenario_30,49.4338644844741,4.356745158869479,0.8,0.4
Scenario_31,71.43687545759647,4.7837666334679465,0.8,0.4
Scenario_32,44.046725484369034,5.713480415791242,0.8,0.4
Scenario_33,37.04621124873813,7.010984903770199,0.8,0.4
Scenario_34,33.727532183988544,7.9344346830025865,0.8,0.4
Scenario_35,68.61223846483287,3.993578407670862,0.8,0.4
Scenario_36,30.27610585618012,7.0773071422741705,0.8,0.4
